,time_ms,MLII,V1
0,0.0,-0.26,-0.21
1,2.7777777777777777,-0.26,-0.21
2,5.555555555555555,-0.26,-0.21
3,8.333333333333334,-0.26,-0.21
4,11.11111111111111,-0.26,-0.21
5,13.888888888888888,-0.26,-0.21
6,16.666666666666668,-0.26,-0.21
7,19.444444444444446,-0.26,-0.21
8,22.22222222222222,-0.26,-0.195
9,25.0,-0.25,-0.185
10,27.777777777777775,-0.24,-0.175
11,30.555555555555554,-0.225,-0.17
12,33.333333333333336,-0.21,-0.18
13,36.11111111111111,-0.2,-0.18
14,38.88888888888889,-0.2,-0.19
15,41.666666666666664,-0.2,-0.17
16,44.44444444444444,-0.18,-0.18
17,47.22222222222222,-0.17,-0.185
18,50.0,-0.155,-0.185
19,52.77777777777778,-0.165,-0.19
20,55.55555555555555,-0.17,-0.195
21,58.333333333333336,-0.175,-0.195
22,61.11111111111111,-0.17,-0.175
23,63.888888888888886,-0.165,-0.165
24,66.66666666666667,-0.16,-0.16
25,69.44444444444444,-0.17,-0.205
26,72.22222222222221,-0.175,-0.26
27,75.0,-0.185,-0.295
28,77.77777777777779,-0.175,-0.295
29,80.55555555555556,-0.17,-0.255
30,83.33333333333333,-0.165,-0.24
31,86.11111111111111,-0.175,-0.245
32,88.88888888888889,-0.2,-0.26
33,91.66666666666666,-0.205,-0.295
34,94.44444444444444,-0.21,-0.3
35,97.22222222222223,-0.21,-0.29
36,100.0,-0.21,-0.28
37,102.77777777777777,-0.225,-0.285
38,105.55555555555556,-0.24,-0.285
39,108.33333333333334,-0.25,-0.275
40,111.1111111111111,-0.245,-0.265
41,113.88888888888889,-0.245,-0.245
42,116.66666666666667,-0.25,-0.245
43,119.44444444444446,-0.255,-0.255
44,122.22222222222221,-0.27,-0.255
45,125.0,-0.29,-0.245
46,127.77777777777777,-0.305,-0.23
47,130.55555555555557,-0.31,-0.215
48,133.33333333333334,-0.305,-0.2
49,136.1111111111111,-0.305,-0.19
50,138.88888888888889,-0.31,-0.2
51,141.66666666666666,-0.31,-0.185
52,144.44444444444443,-0.31,-0.18
53,147.22222222222223,-0.295,-0.165
54,150.0,-0.3,-0.175
55,152.7777777777778,-0.32,-0.16
56,155.55555555555557,-0.325,-0.155
57,158.33333333333331,-0.325,-0.13
58,161.11111111111111,-0.32,-0.125
59,163.88888888888889,-0.305,-0.14
60,166.66666666666666,-0.29,-0.155
61,169.44444444444446,-0.295,-0.155
62,172.22222222222223,-0.29,-0.16
63,175.0,-0.305,-0.14
64,177.77777777777777,-0.295,-0.12
65,180.55555555555554,-0.285,-0.09
66,183.33333333333331,-0.295,-0.115
67,186.11111111111111,-0.295,-0.13
68,188.88888888888889,-0.3,-0.135
69,191.66666666666669,-0.305,-0.125
70,194.44444444444446,-0.285,-0.1
71,197.22222222222223,-0.285,-0.085
72,200.0,-0.28,-0.095
73,202.77777777777777,-0.285,-0.11
74,205.55555555555554,-0.29,-0.115
75,208.33333333333334,-0.295,-0.095
76,211.11111111111111,-0.295,-0.085
77,213.88888888888889,-0.28,-0.075
78,216.66666666666669,-0.275,-0.065
79,219.44444444444443,-0.265,-0.065
80,222.2222222222222,-0.255,-0.085
81,225.0,-0.26,-0.085
82,227.77777777777777,-0.245,-0.1
83,230.55555555555557,-0.235,-0.105
84,233.33333333333334,-0.235,-0.11
85,236.11111111111111,-0.24,-0.14
86,238.8888888888889,-0.24,-0.155
87,241.66666666666666,-0.255,-0.165
88,244.44444444444443,-0.25,-0.175
89,247.22222222222223,-0.245,-0.19
90,250.0,-0.245,-0.2
91,252.77777777777777,-0.255,-0.21
92,255.55555555555554,-0.26,-0.23
93,258.33333333333337,-0.265,-0.22
94,261.11111111111114,-0.26,-0.215
95,263.8888888888889,-0.27,-0.205
96,266.6666666666667,-0.275,-0.195
97,269.44444444444446,-0.29,-0.205
98,272.2222222222222,-0.3,-0.23
99,275.0,-0.305,-0.235
100,277.77777777777777,-0.31,-0.22
101,280.55555555555554,-0.305,-0.215
102,283.3333333333333,-0.29,-0.235
103,286.1111111111111,-0.285,-0.26
104,288.88888888888886,-0.3,-0.265
105,291.6666666666667,-0.3,-0.265
106,294.44444444444446,-0.295,-0.245
107,297.22222222222223,-0.285,-0.225
108,300.0,-0.285,-0.22
109,302.77777777777777,-0.28,-0.23
110,305.5555555555556,-0.29,-0.26
111,308.33333333333337,-0.305,-0.26
112,311.11111111111114,-0.3,-0.245
113,313.88888888888886,-0.3,-0.23
114,316.66666666666663,-0.305,-0.225
115,319.4444444444444,-0.315,-0.235
116,322.22222222222223,-0.335,-0.23
117,325.0,-0.345,-0.2
118,327.77777777777777,-0.34,-0.17
119,330.55555555555554,-0.33,-0.155
120,333.3333333333333,-0.325,-0.145
121,336.11111111111114,-0.325,-0.145
122,338.8888888888889,-0.33,-0.165
123,341.6666666666667,-0.325,-0.175
124,344.44444444444446,-0.315,-0.175
125,347.22222222222223,-0.3,-0.155
126,350.0,-0.305,-0.15
127,352.7777777777778,-0.315,-0.145
